data_value,color
OTHER ACCESSORIES,#72e6cb
ACTIVE LIFE,#a3748f
NATURA,#c97171
ESTEEM SYNERGY,#fbceb1
AMERICAS,#ce5f38
EMEA,#c3e5de
APAC,#09443c
